Team,Mat,Won,Lost,Tied,NR,W/L,Runs,Inns,HS,LS,Season,AveRPW,AveRPO
New Zealand,2,1,1,0,0,1.0,279,2,144.0,0.0,2014/15,18.6,6.97
New Zealand,14,10,3,0,1,3.3333333333333335,2230,13,238.0,106.0,2020/21,32.79,9.57
New Zealand,7,3,4,0,0,0.75,1186,7,219.0,119.0,2018/19,24.7,8.66
New Zealand,14,5,8,0,1,0.625,2258,14,243.0,153.0,2017/18,26.88,8.98
New Zealand,10,5,5,0,0,1.0,1472,10,172.0,111.0,2021/22,28.3,7.78
New Zealand,4,3,1,0,0,3.0,639,4,195.0,107.0,2016/17,25.56,8.77
New Zealand,11,5,5,0,1,1.0,1611,11,226.0,92.0,2023/24,24.04,8.56
New Zealand,9,4,4,0,1,1.0,949,9,179.0,75.0,2024,17.57,7.34
New Zealand,3,2,1,0,0,2.0,428,3,175.0,88.0,2019,20.38,7.75
New Zealand,10,9,1,0,0,9.0,1853,10,254.0,0.0,2022,35.63,9.6
New Zealand,10,2,5,3,0,0.4,1655,10,203.0,165.0,2019/20,24.7,8.81
New Zealand,18,9,7,2,0,1.2857142857142858,2806,18,208.0,66.0,2022/23,25.98,8.27
New Zealand,10,8,2,0,0,4.0,1597,10,196.0,155.0,2015/16,28.51,8.5
Netherlands,5,3,1,0,1,3.0,740,4,247.0,120.0,2023/24,29.6,9.36
Netherlands,8,6,2,0,0,3.0,1169,8,191.0,130.0,2015,25.41,7.54
Netherlands,13,9,4,0,0,2.25,1825,13,206.0,94.0,2019/20,25.7,7.52
Netherlands,5,2,2,0,1,1.0,464,4,157.0,103.0,2015/16,17.18,7.21
Netherlands,9,2,6,1,0,0.3333333333333333,1443,9,199.0,123.0,2019,22.9,8.05
Netherlands,3,1,2,0,0,0.5,381,3,148.0,92.0,2016/17,15.24,7.03
Netherlands,5,2,2,0,1,1.0,743,5,174.0,106.0,2018,21.22,8.3
Netherlands,5,2,2,1,0,1.0,739,5,209.0,96.0,2021,27.37,8.22
Netherlands,3,2,1,0,0,2.0,503,3,182.0,0.0,2018/19,35.92,8.57
