Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
JP Bray (IRE),2,2,0,2,2,1.00,17,11.76,0,0,1,0,0,2009
JP Behrendorff (AUS),8,1,1,2,2*,-,2,100.00,0,0,0,0,0,2023/24
JP Behrendorff (AUS),5,-,-,-,-,-,-,-,-,-,-,-,-,2018/19
JP Behrendorff (AUS),2,-,-,-,-,-,-,-,-,-,-,-,-,2017/18
JP Behrendorff (AUS),2,1,0,5,5,5.00,7,71.42,0,0,0,0,0,2021
JOP Scamans (FIN),3,2,0,10,10,5.00,16,62.50,0,0,1,1,0,2024
JOP Scamans (FIN),9,9,1,74,22,9.25,71,104.22,0,0,3,7,1,2022
JOP Scamans (FIN),4,4,1,62,28,20.66,59,105.08,0,0,0,2,0,2021
JOP Scamans (FIN),2,2,1,20,12*,20.00,19,105.26,0,0,0,1,0,2019
JOA Gordon (CAN),5,-,-,-,-,-,-,-,-,-,-,-,-,2024
JOA Gordon (CAN),4,1,0,1,1,1.00,2,50.0,0,0,0,0,0,2023/24
JOA Gordon (CAN),1,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
JOA Gordon (CAN),5,1,1,1,1*,-,2,50.00,0,0,0,0,0,2019/20
JOA Gordon (CAN),2,1,1,2,2*,-,4,50.00,0,0,0,0,0,2013/14
JO Ngoche (KENYA),2,-,-,-,-,-,-,-,-,-,-,-,-,2013
JO Ngoche (KENYA),5,3,1,4,2,2.00,17,23.52,0,0,0,0,0,2011/12
JO Holder (WI),8,6,4,84,34*,42.00,40,210.0,0,0,2,7,5,2023/24
JO Holder (WI),7,5,0,84,38,16.80,65,129.23,0,0,0,5,4,2022/23
JO Holder (WI),10,6,2,63,36,15.75,47,134.04,0,0,0,2,6,2021/22
JO Holder (WI),3,3,2,52,29*,52.00,52,100.00,0,0,0,1,4,2020/21
JO Holder (WI),6,4,1,51,24*,17.00,28,182.14,0,0,0,5,2,2019/20
JO Holder (WI),3,3,0,18,11,6.00,19,94.73,0,0,1,1,1,2018/19
JO Holder (WI),4,3,1,40,26*,20.00,33,121.21,0,0,1,4,1,2017
JO Holder (WI),1,1,0,2,2,2.00,4,50.00,0,0,0,0,0,2015/16
JO Holder (WI),2,-,-,-,-,-,-,-,-,-,-,-,-,2014/15
JO Holder (WI),1,-,-,-,-,-,-,-,-,-,-,-,-,2013/14
JO Holder (WI),4,3,1,9,6*,4.50,12,75.00,0,0,1,0,0,2023
JO Holder (WI),7,6,1,50,25,10.00,45,111.11,0,0,2,4,2,2022
JO Holder (WI),7,4,2,38,20,19.00,35,108.57,0,0,0,1,2,2021
JNT Vare (PNG),3,3,0,45,38,15.00,48,93.75,0,0,0,2,0,2017
JNT Vare (PNG),2,2,0,5,3,2.50,6,83.33,0,0,0,0,0,2015/16
JNT Vare (PNG),3,2,0,18,13,9.00,17,105.88,0,0,0,2,0,2015
JNK Shannon (IRE),6,6,0,109,60,18.16,77,141.55,0,1,0,12,5,2018
JNK Shannon (IRE),1,1,0,0,0,0.00,4,0.00,0,0,1,0,0,2016
JNK Shannon (IRE),1,1,0,2,2,2.00,3,66.66,0,0,0,0,0,2013/14
JN Snape (ENG),1,1,0,7,7,7.00,11,63.63,0,0,0,0,0,2007/08
JN Mohammed (WI),3,3,0,28,15,9.33,32,87.50,0,0,1,4,0,2018
JN Mohammed (WI),1,1,0,3,3,3.00,5,60.00,0,0,0,0,0,2017/18
JN Mohammed (WI),5,4,3,59,23*,59.00,66,89.39,0,0,0,5,1,2017
JN Malan (SA),3,3,0,75,44,25.00,48,156.25,0,0,0,12,2,2020/21
JN Malan (SA),2,2,0,35,33,17.50,37,94.59,0,0,0,3,2,2018/19
JN Malan (SA),6,6,0,131,55,21.83,101,129.70,0,1,1,10,7,2021
JN Loftie-Eaton (NAM),15,8,2,190,101,31.66,113,168.14,1,0,1,14,14,2023/24
JN Loftie-Eaton (NAM),3,3,0,21,20,7.00,20,105.00,0,0,1,1,2,2022/23
JN Loftie-Eaton (NAM),8,5,1,29,14,7.25,36,80.55,0,0,1,0,1,2021/22
JN Loftie-Eaton (NAM),2,2,0,59,34,29.50,37,159.45,0,0,0,9,2,2024
JN Loftie-Eaton (NAM),8,7,1,91,28,15.16,85,107.05,0,0,0,10,0,2022
JN Loftie-Eaton (NAM),3,2,0,24,18,12.00,26,92.30,0,0,0,3,0,2021
JN Gillespie (AUS),1,1,0,24,24,24.00,18,133.33,0,0,0,4,0,2005
JN Frylinck (NAM),14,13,2,326,57*,29.63,277,117.68,0,1,0,21,11,2023/24
JN Frylinck (NAM),3,3,0,101,44,33.66,93,108.60,0,0,0,6,1,2022/23
JN Frylinck (NAM),10,7,3,39,15*,9.75,47,82.97,0,0,0,0,1,2021/22
JN Frylinck (NAM),7,5,3,19,13*,9.50,23,82.60,0,0,1,1,0,2019/20
JN Frylinck (NAM),13,12,1,154,45,14.00,162,95.06,0,0,1,18,2,2024
JN Frylinck (NAM),8,3,1,42,20,21.00,40,105.00,0,0,0,1,1,2022
JN Frylinck (NAM),3,1,1,10,10*,-,5,200.00,0,0,0,2,0,2021
JN Frylinck (NAM),7,2,1,30,19*,30.00,24,125.00,0,0,0,1,1,2019
JN Dorji (BHU),8,8,0,74,30,9.25,97,76.28,0,0,2,8,0,2023/24
JN Dorji (BHU),1,1,0,0,0,0.00,0,-,0,0,1,0,0,2019/20
JMV Junior (Fiji),2,2,1,12,9,12.00,13,92.30,0,0,0,0,1,2024
JM Vujnovich (CRT),4,4,0,38,25,9.50,53,71.69,0,0,0,3,0,2024
JM Vujnovich (CRT),5,5,1,51,20,12.75,98,52.04,0,0,1,2,0,2022
JM Vince (ENG),5,5,0,123,55,24.60,86,143.02,0,1,0,13,5,2021/22
JM Vince (ENG),4,4,0,110,59,27.50,83,132.53,0,1,0,11,3,2019/20
JM Vince (ENG),1,1,0,36,36,36.00,27,133.33,0,0,0,3,1,2019
JM Vince (ENG),2,2,0,31,21,15.50,28,110.71,0,0,0,2,1,2017/18
JM Vince (ENG),1,1,0,16,16,16.00,14,114.28,0,0,0,2,0,2016
JM Vince (ENG),4,4,0,147,46,36.75,123,119.51,0,0,0,16,4,2015/16
JM Sharma (IND),6,6,0,95,35,15.83,64,148.43,0,0,1,10,4,2023/24
JM Sharma (IND),3,1,0,5,5,5.00,4,125.0,0,0,0,1,0,2023
JM Obando (CRC),1,1,0,0,0,0.00,5,0.00,0,0,1,0,0,2024
JM Muirhead (AUS),5,2,1,4,3,4.00,8,50.00,0,0,0,0,0,2013/14
JM Kemp (SA),5,5,3,173,89*,86.50,124,139.51,0,1,0,13,10,2007/08
JM Kemp (SA),2,1,0,22,22,22.00,25,88.00,0,0,0,3,0,2006/07
JM Kemp (SA),1,1,0,8,8,8.00,11,72.72,0,0,0,1,0,2005/06
JM Joao (MOZ),5,2,0,17,9,8.50,18,94.44,0,0,0,2,0,2024/25
JM Joao (MOZ),2,1,1,0,0*,-,2,0.0,0,0,0,0,0,2023/24
JM Joao (MOZ),2,1,0,1,1,1.00,10,10.00,0,0,0,0,0,2022/23
JM Joao (MOZ),1,-,-,-,-,-,-,-,-,-,-,-,-,2022
JM Joao (MOZ),3,2,0,26,18,13.00,34,76.47,0,0,0,2,0,2023
JM Iradukunda (RWN),3,2,0,1,1,0.50,3,33.33,0,0,1,0,0,2023
JM How (NZ),1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,2008
JM How (NZ),4,4,0,55,31,13.75,62,88.70,0,0,0,5,1,2007/08
JM Davison (CAN),2,2,0,0,0,0.00,4,0.00,0,0,2,0,0,2009/10
JM Davison (CAN),3,3,0,44,19,14.66,36,122.22,0,0,0,2,3,2008
JM Cox (ENG),2,2,0,17,17,8.50,14,121.42,0,0,1,3,0,2024
JM Bairstow (ENG),10,8,3,159,48*,31.80,116,137.06,0,0,1,13,9,2024
JM Bairstow (ENG),6,6,2,47,16*,11.75,42,111.90,0,0,1,5,2,2021/22
JM Bairstow (ENG),8,7,3,207,86*,51.75,141,146.80,0,1,0,19,8,2020/21
JM Bairstow (ENG),6,6,0,118,55,19.66,93,126.88,0,1,1,10,5,2020
JM Bairstow (ENG),7,7,0,212,64,30.28,126,168.25,0,1,1,20,12,2019/20
JM Bairstow (ENG),3,3,0,117,68,39.00,79,148.10,0,1,0,15,4,2018/19
JM Bairstow (ENG),4,4,1,67,28,22.33,41,163.41,0,0,1,2,6,2018
JM Bairstow (ENG),3,3,1,134,60*,67.00,93,144.08,0,1,0,15,4,2017
JM Bairstow (ENG),1,-,-,-,-,-,-,-,-,-,-,-,-,2016
JM Bairstow (ENG),1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,2015
JM Bairstow (ENG),8,7,1,84,38,14.00,77,109.09,0,0,0,9,3,2012/13
JM Bairstow (ENG),4,2,0,19,15,9.50,19,100.00,0,0,0,2,0,2012
JM Bairstow (ENG),4,4,3,87,60*,87.00,78,111.53,0,1,0,5,2,2011/12
JM Bairstow (ENG),2,1,0,4,4,4.00,5,80.00,0,0,0,0,0,2011
JM Bairstow (ENG),4,4,1,175,86*,58.33,119,147.05,0,2,0,15,10,2023
JM Bairstow (ENG),3,3,0,147,90,49.00,104,141.34,0,1,0,9,8,2022
JM Bairstow (ENG),6,6,1,93,51,18.60,80,116.25,0,1,1,9,3,2021
JM Anderson (ENG),2,-,-,-,-,-,-,-,-,-,-,-,-,2009/10
JM Anderson (ENG),6,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2009
JM Anderson (ENG),1,1,1,0,0*,-,0,-,0,0,0,0,0,2008/09
JM Anderson (ENG),1,-,-,-,-,-,-,-,-,-,-,-,-,2008
JM Anderson (ENG),6,1,1,0,0*,-,0,-,0,0,0,0,0,2007/08
JM Anderson (ENG),2,-,-,-,-,-,-,-,-,-,-,-,-,2007
JM Anderson (ENG),1,1,1,1,1*,-,1,100.00,0,0,0,0,0,2006/07
JL de Mey (NED),3,-,-,-,-,-,-,-,-,-,-,-,-,2021
JL Tutty (COK),6,2,0,12,9,6.00,18,66.66,0,0,0,0,0,2024
JL Pattinson (AUS),4,2,2,5,5*,-,3,166.66,0,0,0,1,0,2011/12
JL Ontong (SA),2,1,0,19,19,19.00,12,158.33,0,0,0,2,1,2014/15
JL Ontong (SA),2,2,0,48,48,24.00,31,154.83,0,0,1,1,3,2012/13
JL Ontong (SA),3,2,0,11,10,5.50,9,122.22,0,0,0,0,1,2012
JL Ontong (SA),4,3,0,60,32,20.00,29,206.89,0,0,0,3,6,2011/12
JL Ontong (SA),2,1,0,6,6,6.00,12,50.00,0,0,0,0,0,2008/09
JL Ontong (SA),1,1,0,14,14,14.00,16,87.50,0,0,0,0,0,2007/08
JL Martel (GUE),3,1,1,13,13*,-,6,216.66,0,0,0,1,1,2019
JL Denly (ENG),1,1,1,29,29*,-,19,152.63,0,0,0,4,0,2020
JL Denly (ENG),2,2,0,4,3,2.00,6,66.66,0,0,0,0,0,2019/20
JL Denly (ENG),4,3,0,52,30,17.33,52,100.00,0,0,0,7,0,2018/19
JL Denly (ENG),4,4,0,20,14,5.00,28,71.42,0,0,1,2,0,2009/10
JL Denly (ENG),1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2009
JL Denly (ENG),1,1,1,20,20*,-,12,166.66,0,0,0,2,1,2019
JKP Ellick (STHEL),2,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
JKC Ahir (PAN),3,2,0,20,13,10.00,50,40.00,0,0,0,1,0,2023/24
JK Vifah (GHA),7,7,0,54,18,7.71,56,96.42,0,0,1,5,0,2023/24
JK Vifah (GHA),7,7,1,152,63*,25.33,141,107.80,0,2,0,10,4,2022/23
JK Vifah (GHA),6,6,0,115,50,19.16,93,123.65,0,1,0,10,4,2021/22
JK Vifah (GHA),3,3,0,42,23,14.00,45,93.33,0,0,0,2,1,2019
JK Vifah (GHA),3,3,1,53,45,26.50,46,115.21,0,0,0,5,2,2022
JK Vifah (GHA),5,5,1,80,29,20.00,67,119.40,0,0,0,12,1,2021
JK Theodore (GHA),17,15,1,82,18,5.85,98,83.67,0,0,3,0,4,2023/24
JK Theodore (GHA),7,4,2,34,22*,17.00,32,106.25,0,0,0,3,0,2022/23
JK Theodore (GHA),6,3,1,11,8*,5.50,14,78.57,0,0,1,1,0,2021/22
JK Theodore (GHA),3,3,0,13,8,4.33,13,100.00,0,0,1,2,0,2022
JK Theodore (GHA),5,2,0,20,13,10.00,19,105.26,0,0,0,2,1,2021
JK Mukhiya (NEP),6,2,1,6,5,6.00,12,50.00,0,0,0,0,0,2021/22
JK Mukhiya (NEP),1,1,1,0,0*,-,0,-,0,0,0,0,0,2015
JK Mukhiya (NEP),3,-,-,-,-,-,-,-,-,-,-,-,-,2013/14
JK Masara (ZIM),1,-,-,-,-,-,-,-,-,-,-,-,-,2022
JK Kamande (KENYA),4,1,0,42,42,42.00,33,127.27,0,0,0,2,3,2009/10
JK Kamande (KENYA),4,4,0,17,11,4.25,22,77.27,0,0,1,1,0,2008
JK Kamande (KENYA),4,4,0,24,14,6.00,37,64.86,0,0,1,2,0,2007/08
JJ van der Wath (SA),5,2,1,11,9*,11.00,11,100.00,0,0,0,1,0,2007/08
JJ van der Wath (SA),2,1,0,21,21,21.00,21,100.00,0,0,0,1,0,2006/07
JJ van der Wath (SA),1,1,0,14,14,14.00,7,200.00,0,0,0,1,1,2005/06
JJ Wright (SWA),5,5,1,32,19*,8.00,33,96.96,0,0,2,1,1,2021/22
JJ Tucker (BER),5,5,1,94,50*,23.50,97,96.90,0,1,0,11,1,2019/20
JJ Smit (NAM),15,13,9,262,50,65.50,173,151.44,0,1,0,18,16,2023/24
JJ Smit (NAM),3,3,2,39,31*,39.00,23,169.56,0,0,0,3,2,2022/23
JJ Smit (NAM),11,10,5,160,48,32.00,140,114.28,0,0,1,11,6,2021/22
JJ Smit (NAM),9,9,2,190,59,27.14,113,168.14,0,1,0,8,14,2019/20
JJ Smit (NAM),3,1,0,16,16,16.00,15,106.66,0,0,0,2,0,2019
JJ Smit (NAM),8,8,1,113,38,16.14,101,111.88,0,0,1,6,8,2024
JJ Smit (NAM),3,2,0,84,71,42.00,46,182.60,0,1,0,4,8,2022
JJ Smit (NAM),3,2,1,75,40,75.00,45,166.66,0,0,0,4,4,2021
JJ Roy (ENG),10,10,1,253,61,28.11,189,133.86,0,2,0,24,13,2021/22
JJ Roy (ENG),8,8,0,174,49,21.75,144,120.83,0,0,2,19,7,2020/21
JJ Roy (ENG),3,3,0,117,70,39.00,71,164.78,0,1,0,10,6,2019/20
JJ Roy (ENG),1,1,0,69,69,69.00,36,191.66,0,1,0,4,6,2018/19
JJ Roy (ENG),4,4,0,156,67,39.00,89,175.28,0,1,0,17,8,2018
JJ Roy (ENG),4,4,0,46,21,11.50,35,131.42,0,0,0,7,1,2017/18
JJ Roy (ENG),4,4,0,103,67,25.75,68,151.47,0,1,1,13,3,2017
JJ Roy (ENG),3,3,0,61,32,20.33,45,135.55,0,0,0,4,4,2016/17
JJ Roy (ENG),2,2,0,21,21,10.50,23,91.30,0,0,1,2,1,2016
JJ Roy (ENG),11,11,0,245,78,22.27,177,138.41,0,1,2,25,10,2015/16
JJ Roy (ENG),2,2,0,34,23,17.00,29,117.24,0,0,0,2,2,2015
JJ Roy (ENG),1,1,0,8,8,8.00,10,80.00,0,0,0,1,0,2014
JJ Roy (ENG),6,6,0,76,27,12.66,98,77.55,0,0,1,4,2,2022
JJ Roy (ENG),5,5,0,159,64,31.80,92,172.82,0,1,0,21,6,2021
JJ Nyambo (TAN),4,3,0,3,2,1.00,13,23.07,0,0,1,0,0,2023/24
JJ Nyambo (TAN),6,2,1,6,4,6.00,13,46.15,0,0,0,0,0,2022/23
JJ Nyambo (TAN),3,1,1,2,2*,-,3,66.66,0,0,0,0,0,2023
JJ Huo (MOZ),5,5,0,86,34,17.20,89,96.62,0,0,0,11,2,2024/25
JJ Huo (MOZ),3,3,0,25,13,8.33,25,100.0,0,0,1,3,0,2023/24
JJ Huo (MOZ),6,6,4,106,27,53.00,99,107.07,0,0,0,10,2,2022/23
JJ Huo (MOZ),4,4,0,30,18,7.50,33,90.90,0,0,1,4,1,2021/22
JJ Huo (MOZ),7,7,0,58,18,8.28,61,95.08,0,0,1,7,2,2019/20
JJ Huo (MOZ),3,3,0,19,11,6.33,43,44.18,0,0,0,1,0,2023
JJ Huo (MOZ),9,8,4,126,28*,31.50,95,132.63,0,0,1,12,3,2022
JJ Griffin (IOM),3,-,-,-,-,-,-,-,-,-,-,-,-,2023
JJ Davidson (SCOT),1,1,1,3,3*,-,4,75.0,0,0,0,0,0,2024
JJ Celestine (BER),3,3,0,9,7,3.00,17,52.94,0,0,1,0,0,2008
JJ Bumrah (IND),7,-,-,-,-,-,-,-,-,-,-,-,-,2021/22
JJ Bumrah (IND),8,-,-,-,-,-,-,-,-,-,-,-,-,2019/20
JJ Bumrah (IND),7,-,-,-,-,-,-,-,-,-,-,-,-,2018/19
JJ Bumrah (IND),1,-,-,-,-,-,-,-,-,-,-,-,-,2018
JJ Bumrah (IND),9,2,1,8,7,8.00,11,72.72,0,0,0,1,0,2017/18
JJ Bumrah (IND),1,-,-,-,-,-,-,-,-,-,-,-,-,2017
JJ Bumrah (IND),3,2,2,0,0*,-,0,-,0,0,0,0,0,2016/17
JJ Bumrah (IND),5,-,-,-,-,-,-,-,-,-,-,-,-,2016
JJ Bumrah (IND),16,2,1,0,0*,0.00,2,0.00,0,0,1,0,0,2015/16
JJ Bumrah (IND),8,1,0,0,0,0.00,1,0.0,0,0,1,0,0,2024
JJ Bumrah (IND),2,-,-,-,-,-,-,-,-,-,-,-,-,2023
JJ Bumrah (IND),3,1,1,0,0*,-,0,-,0,0,0,0,0,2022
JJ Atkinson (HKG),6,6,1,60,20,12.00,59,101.69,0,0,0,5,2,2024
JJ Atkinson (HKG),6,5,1,79,68*,19.75,55,143.63,0,1,2,10,3,2023/24
JJ Atkinson (HKG),4,4,2,107,50,53.50,90,118.88,0,1,0,9,3,2019/20
JJ Atkinson (HKG),5,5,0,102,53,20.40,91,112.08,0,1,1,10,3,2015/16
JJ Atkinson (HKG),4,3,0,56,47,18.66,53,105.66,0,0,1,6,2,2015
JJ Atkinson (HKG),1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,2014/15
JJ Atkinson (HKG),3,3,0,44,31,14.66,41,107.31,0,0,0,6,1,2013/14
JI de Villiers (NAM),2,2,0,1,1,0.50,3,33.33,0,0,1,0,0,2024
JH Stander (SCOT),1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,2012
JH Stander (SCOT),4,4,1,41,21,13.66,33,124.24,0,0,1,2,1,2011/12
JH Stander (SCOT),4,4,0,51,45,12.75,47,108.51,0,0,1,4,3,2009/10
JH Stander (SCOT),2,2,1,2,2,2.00,7,28.57,0,0,0,0,0,2009
JH Mensah (GHA),2,2,0,17,16,8.50,10,170.00,0,0,0,1,1,2019
JH Kiani (PHI),4,3,1,25,13,12.50,36,69.44,0,0,0,2,0,2018/19
JH Kiani (PHI),1,1,0,4,4,4.00,5,80.00,0,0,0,0,0,2023
JH Kallis (SA),5,3,0,24,12,8.00,33,72.72,0,0,0,2,1,2012/13
JH Kallis (SA),3,3,3,69,48*,-,56,123.21,0,0,0,9,0,2012
JH Kallis (SA),1,1,0,61,61,61.00,42,145.23,0,1,0,5,2,2011/12
JH Kallis (SA),6,6,0,224,73,37.33,192,116.66,0,2,0,7,11,2010
JH Kallis (SA),1,1,0,7,7,7.00,5,140.00,0,0,0,1,0,2009/10
JH Kallis (SA),5,5,1,238,64,59.50,188,126.59,0,2,0,28,4,2009
JH Kallis (SA),1,1,0,4,4,4.00,6,66.66,0,0,0,1,0,2008/09
JH Kallis (SA),1,1,0,4,4,4.00,5,80.00,0,0,0,1,0,2007/08
JH Kallis (SA),2,2,0,35,20,17.50,31,112.90,0,0,0,2,2,2005/06
JH Davey (SCOT),3,1,1,4,4*,-,3,133.33,0,0,0,0,0,2022/23
JH Davey (SCOT),7,5,2,28,11*,9.33,22,127.27,0,0,1,2,1,2021/22
JH Davey (SCOT),7,3,3,28,14*,-,20,140.00,0,0,0,2,1,2019/20
JH Davey (SCOT),3,2,1,10,9*,10.00,9,111.11,0,0,0,1,0,2016/17
JH Davey (SCOT),4,2,0,26,24,13.00,18,144.44,0,0,0,1,2,2015/16
JH Davey (SCOT),6,2,1,12,8,12.00,10,120.00,0,0,0,1,0,2015
JH Davey (SCOT),1,1,0,7,7,7.00,6,116.66,0,0,0,0,0,2012
JG Bethell (ENG),2,2,0,46,44,23.00,30,153.33,0,0,0,4,3,2024
JF Smith (SA),1,1,1,6,6*,-,6,100.00,0,0,0,0,0,2024
JF Mooney (IRE),4,3,1,27,18*,13.50,18,150.00,0,0,0,3,1,2015
JF Mooney (IRE),2,2,1,26,14*,26.00,13,200.00,0,0,0,4,0,2013/14
JF Mooney (IRE),3,3,1,13,12,6.50,20,65.00,0,0,0,2,0,2012
JF Mooney (IRE),5,3,2,25,16*,25.00,19,131.57,0,0,0,3,0,2011/12
JF Mooney (IRE),2,1,0,1,1,1.00,3,33.33,0,0,0,0,0,2010
JF Mooney (IRE),6,6,2,58,17*,14.50,62,93.54,0,0,0,5,0,2009/10
JF Mooney (IRE),5,5,2,81,31*,27.00,79,102.53,0,0,0,8,0,2009
JF Chester (SWA),4,3,2,0,0*,0.00,6,0.00,0,0,1,0,0,2021/22
JEC Franklin (NZ),2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2013
JEC Franklin (NZ),12,11,2,167,50,18.55,140,119.28,0,1,1,14,6,2012/13
JEC Franklin (NZ),1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,2012
JEC Franklin (NZ),7,4,2,105,60,52.50,59,177.96,0,1,0,4,9,2011/12
JEC Franklin (NZ),3,3,0,62,40,20.66,68,91.17,0,0,0,4,2,2010/11
JEC Franklin (NZ),4,3,1,55,43,27.50,54,101.85,0,0,0,3,2,2009/10
JEC Franklin (NZ),3,2,1,14,7*,14.00,20,70.00,0,0,0,0,0,2009
JEC Franklin (NZ),3,3,0,25,20,8.33,17,147.05,0,0,0,1,2,2008/09
JEC Franklin (NZ),2,2,1,21,18,21.00,21,100.00,0,0,0,2,1,2006/07
JEC Franklin (NZ),1,1,1,13,13*,-,9,144.44,0,0,0,0,1,2005/06
JEA Doctora (PHI),3,2,1,5,5*,5.00,7,71.42,0,0,1,0,0,2023/24
JEA Doctora (PHI),7,7,1,61,28,10.16,89,68.53,0,0,2,4,2,2023
JE Taylor (WI),2,2,0,33,20,16.50,14,235.71,0,0,0,3,3,2017/18
JE Taylor (WI),5,1,0,1,1,1.00,3,33.33,0,0,0,0,0,2017
JE Taylor (WI),3,2,1,31,21,31.00,25,124.00,0,0,0,4,1,2016/17
JE Taylor (WI),3,1,0,6,6,6.00,12,50.00,0,0,0,0,0,2015/16
JE Taylor (WI),5,4,2,27,16*,13.50,19,142.10,0,0,0,2,1,2010
JE Taylor (WI),6,2,0,2,2,1.00,3,66.66,0,0,1,0,0,2009
JE Taylor (WI),2,2,2,11,11*,-,11,100.00,0,0,0,1,0,2008/09
JE Taylor (WI),1,-,-,-,-,-,-,-,-,-,-,-,-,2008
JE Taylor (WI),2,1,1,7,7*,-,5,140.00,0,0,0,0,1,2007/08
JE Taylor (WI),1,-,-,-,-,-,-,-,-,-,-,-,-,2005/06
JE Scott (Bhm),4,2,0,4,4,2.00,7,57.14,0,0,1,0,0,2022/23
JE Root (ENG),3,3,1,59,55,29.50,53,111.32,0,1,1,7,0,2018/19
JE Root (ENG),3,3,0,44,35,14.66,35,125.71,0,0,1,4,0,2018
JE Root (ENG),1,1,0,17,17,17.00,19,89.47,0,0,0,2,0,2017
JE Root (ENG),3,3,1,126,46*,63.00,121,104.13,0,0,0,10,2,2016/17
JE Root (ENG),1,1,0,6,6,6.00,9,66.66,0,0,0,0,0,2016
JE Root (ENG),10,10,1,343,83,38.11,237,144.72,0,2,0,34,11,2015/16
JE Root (ENG),1,1,0,68,68,68.00,46,147.82,0,1,0,8,1,2015
JE Root (ENG),2,2,0,31,26,15.50,36,86.11,0,0,0,2,0,2014
JE Root (ENG),3,3,0,61,32,20.33,59,103.38,0,0,0,7,1,2013/14
JE Root (ENG),2,2,2,91,90*,-,50,182.00,0,1,0,13,1,2013
JE Root (ENG),2,-,-,-,-,-,-,-,-,-,-,-,-,2012/13
JE Root (ENG),1,1,0,47,47,47.00,42,111.90,0,0,0,5,0,2019
JE Pitcher (BER),6,2,2,5,4*,-,15,33.33,0,0,0,0,0,2022/23
JE Pitcher (BER),3,1,1,5,5*,-,4,125.00,0,0,0,0,0,2019
JDS Neesham (NZ),3,2,1,76,48,76.00,49,155.10,0,0,0,5,5,2023/24
JDS Neesham (NZ),15,12,3,100,26*,11.11,75,133.33,0,0,4,6,4,2022/23
JDS Neesham (NZ),9,7,3,92,35*,23.00,68,135.29,0,0,0,3,6,2021/22
JDS Neesham (NZ),11,7,3,139,48*,34.75,75,185.33,0,0,1,9,11,2020/21
JDS Neesham (NZ),3,3,1,63,42,31.50,38,165.78,0,0,0,4,5,2019/20
JDS Neesham (NZ),2,2,0,20,15,10.00,17,117.64,0,0,0,3,0,2016/17
JDS Neesham (NZ),2,1,0,28,28,28.00,19,147.36,0,0,0,3,1,2015
JDS Neesham (NZ),2,2,1,13,7*,13.00,13,100.00,0,0,0,1,0,2014/15
JDS Neesham (NZ),2,2,0,18,11,9.00,13,138.46,0,0,0,2,1,2014
JDS Neesham (NZ),4,3,2,21,14*,21.00,14,150.00,0,0,1,2,1,2013/14
JDS Neesham (NZ),3,2,0,22,12,11.00,17,129.41,0,0,0,4,0,2012/13
JDS Neesham (NZ),7,5,2,44,16,14.66,41,107.31,0,0,0,4,1,2024
JDS Neesham (NZ),6,6,1,117,45*,23.40,80,146.25,0,0,0,12,3,2023
JDS Neesham (NZ),10,9,4,191,33*,38.20,92,207.60,0,0,0,14,13,2022
JDP Oram (NZ),5,4,1,33,11,11.00,31,106.45,0,0,0,4,0,2012/13
JDP Oram (NZ),2,2,1,45,27,45.00,22,204.54,0,0,0,5,2,2012
JDP Oram (NZ),2,-,-,-,-,-,-,-,-,-,-,-,-,2011/12
JDP Oram (NZ),4,3,0,18,15,6.00,15,120.00,0,0,1,0,2,2010
JDP Oram (NZ),3,2,0,1,1,0.50,5,20.00,0,0,1,0,0,2009/10
JDP Oram (NZ),7,7,1,84,24,14.00,79,106.32,0,0,0,5,1,2009
JDP Oram (NZ),4,4,1,51,29*,17.00,41,124.39,0,0,1,4,2,2008/09
JDP Oram (NZ),8,7,2,219,66*,43.80,130,168.46,0,2,0,19,13,2007/08
JDP Oram (NZ),1,1,1,23,23*,-,16,143.75,0,0,0,1,2,2005/06
JDP Albertze (BER),4,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
JDF Vandersay (SL),4,1,1,5,5*,-,3,166.66,0,0,0,1,0,2021/22
JDF Vandersay (SL),3,2,2,0,0*,-,0,-,0,0,0,0,0,2018/19
JDF Vandersay (SL),5,5,4,15,8*,15.00,17,88.23,0,0,0,2,0,2015/16
JDF Vandersay (SL),2,-,-,-,-,-,-,-,-,-,-,-,-,2015
JDA Richardson (BER),3,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
JD Wildermuth (AUS),2,1,1,1,1*,-,1,100.00,0,0,0,0,0,2018
JD Unadkat (IND),9,-,-,-,-,-,-,-,-,-,-,-,-,2017/18
JD Unadkat (IND),1,-,-,-,-,-,-,-,-,-,-,-,-,2016
JD Schoonheim (NED),1,-,-,-,-,-,-,-,-,-,-,-,-,2008
JD Ryder (NZ),2,2,0,45,23,22.50,23,195.65,0,0,0,5,2,2013/14
