Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
Vraj Patel (KENYA),8,2,2,3,2*,-,4,75.00,0,0,0,0,0,2022
Vraj Patel (KENYA),5,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2021
Vishil Patel (KENYA),11,3,1,2,2*,1.00,12,16.66,0,0,2,0,0,2023/24
Vishil Patel (KENYA),5,1,0,0,0,0.00,2,0.00,0,0,1,0,0,2023
Vishal Ahir (PAN),1,-,-,-,-,-,-,-,-,-,-,-,-,2019
Virk Ali (Fran),4,4,1,76,52*,25.33,82,92.68,0,1,1,4,3,2021
Virendra Kumar (ISR),4,4,2,22,8*,11.00,19,115.78,0,0,0,2,0,2024
Virandeep Singh (MAS),10,9,3,226,72*,37.66,185,122.16,0,1,1,12,7,2024
Virandeep Singh (MAS),10,10,2,266,65*,33.25,235,113.19,0,3,0,22,9,2023/24
Virandeep Singh (MAS),11,11,1,389,96,38.90,280,138.92,0,3,0,38,16,2022/23
Virandeep Singh (MAS),4,4,1,116,59*,38.66,94,123.40,0,1,1,12,2,2021/22
Virandeep Singh (MAS),14,14,1,380,50,29.23,335,113.43,0,1,0,34,14,2019/20
Virandeep Singh (MAS),7,7,0,184,57,26.28,186,98.92,0,1,1,17,4,2019
Virandeep Singh (MAS),14,14,6,526,116*,65.75,367,143.32,1,3,1,33,33,2023
Virandeep Singh (MAS),10,9,2,234,72,33.42,167,140.11,0,2,1,23,13,2022
Virandeep Singh (MAS),4,4,0,120,87,30.00,88,136.36,0,1,0,12,6,2021
Vinod Kumar (ESP),1,1,0,3,3,3.00,4,75.00,0,0,0,0,0,2019/20
Vinod Kumar (ESP),3,3,1,25,17,12.50,30,83.33,0,0,0,3,0,2019
Vinay Ravi (NOR),4,3,1,16,16,8.00,18,88.88,0,0,1,1,1,2024
Vinay Ravi (NOR),5,3,3,23,10*,-,9,255.55,0,0,0,2,1,2023
Vinay Ravi (NOR),9,4,1,16,7,5.33,20,80.00,0,0,0,1,0,2022
Vinay Ravi (NOR),5,5,3,36,14*,18.00,26,138.46,0,0,0,3,1,2021
Vinay Iyer (JPN),2,1,0,6,6,6.00,10,60.00,0,0,0,1,0,2022/23
Vimal Kumar (PHI),2,2,1,18,15*,18.00,36,50.00,0,0,0,0,0,2021/22
Vimal Kumar (PHI),2,-,-,-,-,-,-,-,-,-,-,-,-,2018/19
Vikramjit Singh (NED),12,12,0,225,52,18.75,172,130.81,0,1,1,22,10,2024
Vikramjit Singh (NED),2,1,0,29,29,29.00,23,126.08,0,0,0,0,3,2023/24
Vikramjit Singh (NED),5,5,0,57,39,11.40,62,91.93,0,0,1,5,2,2022/23
Vikramjit Singh (NED),1,1,0,15,15,15.00,13,115.38,0,0,0,1,0,2019
Vikramjit Singh (NED),1,1,0,3,3,3.00,8,37.50,0,0,0,0,0,2022
Vikramjit Singh (NED),1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,2021
Vichanath Singh (THA),4,4,1,7,3*,2.33,18,38.88,0,0,0,0,0,2019/20
Vichanath Singh (THA),4,-,-,-,-,-,-,-,-,-,-,-,-,2019
Vichanath Singh (THA),1,1,1,8,8*,-,6,133.33,0,0,0,1,0,2023
Vichanath Singh (THA),6,6,0,56,18,9.33,94,59.57,0,0,0,1,0,2022
VV Morea (PNG),1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,2017
VV Morea (PNG),3,3,0,26,19,8.66,29,89.65,0,0,0,3,0,2015/16
VV Morea (PNG),1,1,0,9,9,9.00,12,75.00,0,0,0,1,0,2015
VT Thiyanesh (SGP),1,-,-,-,-,-,-,-,-,-,-,-,-,2023
VS Wategaonkar (OMA),2,1,0,14,14,14.00,14,100.00,0,0,0,1,0,2015/16
