match_id,flip,gender,Mat,Won,Lost,Tied,NR,W/L,Inns,HS,LS,AveRPW,AveRPO,Mat_team2,Won_team2,Lost_team2,Tied_team2,NR_team2,W/L_team2,Inns_team2,HS_team2,LS_team2,AveRPW_team2,AveRPO_team2
300435,0,1,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78,7,3,4,0,0,0.75,7,200,135.0,21.32,8.52
300435,1,1,7,3,4,0,0,0.75,7,200,135.0,21.32,8.52,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78
300436,0,1,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78,7,3,4,0,0,0.75,7,200,135.0,21.32,8.52
300436,1,1,7,3,4,0,0,0.75,7,200,135.0,21.32,8.52,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78
306987,0,1,4,0,4,0,0,0.0,4,138,73.0,10.86,5.14,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2
306987,1,1,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2,4,0,4,0,0,0.0,4,138,73.0,10.86,5.14
306989,0,1,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36
306989,1,1,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2
306991,0,1,4,0,4,0,0,0.0,4,138,73.0,10.86,5.14,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36
306991,1,1,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36,4,0,4,0,0,0.0,4,138,73.0,10.86,5.14
319112,0,1,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47,4,1,3,0,0,0.3333333333333333,4,205,0.0,21.53,8.01
319112,1,1,4,1,3,0,0,0.3333333333333333,4,205,0.0,21.53,8.01,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47
319142,0,1,1,1,0,0,0,1.0,1,102,0.0,34.0,11.12,1,0,1,0,0,0.0,1,97,0.0,32.33,8.81
319142,1,1,1,0,1,0,0,0.0,1,97,0.0,32.33,8.81,1,1,0,0,0,1.0,1,102,0.0,34.0,11.12
343764,0,1,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2
343764,1,1,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36
350347,0,1,5,3,2,0,0,1.5,5,168,130.0,22.09,7.98,1,0,1,0,0,0.0,1,109,0.0,13.62,7.78
350347,1,1,1,0,1,0,0,0.0,1,109,0.0,13.62,7.78,5,3,2,0,0,1.5,5,168,130.0,22.09,7.98
350475,0,1,5,3,2,0,0,1.5,5,168,130.0,22.09,7.98,5,3,2,0,0,1.5,5,182,0.0,22.8,8.07
350475,1,1,5,3,2,0,0,1.5,5,182,0.0,22.8,8.07,5,3,2,0,0,1.5,5,168,130.0,22.09,7.98
350476,0,1,5,3,2,0,0,1.5,5,168,130.0,22.09,7.98,5,3,2,0,0,1.5,5,182,0.0,22.8,8.07
350476,1,1,5,3,2,0,0,1.5,5,182,0.0,22.8,8.07,5,3,2,0,0,1.5,5,168,130.0,22.09,7.98
351694,0,1,5,3,2,0,0,1.5,5,182,0.0,22.8,8.07,5,3,2,0,0,1.5,5,168,130.0,22.09,7.98
351694,1,1,5,3,2,0,0,1.5,5,168,130.0,22.09,7.98,5,3,2,0,0,1.5,5,182,0.0,22.8,8.07
351695,0,1,5,3,2,0,0,1.5,5,182,0.0,22.8,8.07,5,3,2,0,0,1.5,5,168,130.0,22.09,7.98
351695,1,1,5,3,2,0,0,1.5,5,168,130.0,22.09,7.98,5,3,2,0,0,1.5,5,182,0.0,22.8,8.07
351696,0,1,5,3,2,0,0,1.5,5,182,0.0,22.8,8.07,5,3,1,1,0,3.0,5,191,0.0,27.96,8.2
351696,1,1,5,3,1,1,0,3.0,5,191,0.0,27.96,8.2,5,3,2,0,0,1.5,5,182,0.0,22.8,8.07
352674,0,1,3,1,1,1,0,1.0,3,155,0.0,22.78,7.46,1,0,1,0,0,0.0,1,121,121.0,12.1,6.31
352674,1,1,1,0,1,0,0,0.0,1,121,121.0,12.1,6.31,3,1,1,1,0,1.0,3,155,0.0,22.78,7.46
354456,0,1,3,0,3,0,0,0.0,3,99,70.0,8.4,4.28,4,2,2,0,0,1.0,4,117,117.0,20.52,5.68
354456,1,1,4,2,2,0,0,1.0,4,117,117.0,20.52,5.68,3,0,3,0,0,0.0,3,99,70.0,8.4,4.28
355992,0,1,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69,2,0,2,0,0,0.0,2,89,81.0,12.14,7.5
355992,1,1,2,0,2,0,0,0.0,2,89,81.0,12.14,7.5,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69
355993,0,1,4,0,3,0,1,0.0,4,169,108.0,19.36,7.27,7,4,3,0,0,1.3333333333333333,7,177,101.0,24.25,8.26
355993,1,1,7,4,3,0,0,1.3333333333333333,7,177,101.0,24.25,8.26,4,0,3,0,1,0.0,4,169,108.0,19.36,7.27
355994,0,1,3,0,3,0,0,0.0,3,155,0.0,16.4,6.83,5,2,3,0,0,0.6666666666666666,5,180,0.0,26.44,7.47
355994,1,1,5,2,3,0,0,0.6666666666666666,5,180,0.0,26.44,7.47,3,0,3,0,0,0.0,3,155,0.0,16.4,6.83
355995,0,1,2,0,2,0,0,0.0,2,89,81.0,12.14,7.5,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67
355995,1,1,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67,2,0,2,0,0,0.0,2,89,81.0,12.14,7.5
