Player,Season,Mat,Inns,Batting Runs,SR,Ave,Country,Cum batting Ave,Cum battings Runs Total,Cum Inns Total,Cum SR,player_id
A Gavde,2019,1,1.0,1.0,16.66,1.0,Cayman Islands,1.0,1.0,1.0,16.66,c725d464
A Gbla,2021/22,8,7.0,51.0,94.44,8.5,Sierra Leone,8.5,51.0,7.0,94.44,34ab1e6e
A Gbla,2022/23,7,5.0,37.0,82.22,7.4,Sierra Leone,8.04,88.0,12.0,88.33,34ab1e6e
A Gbla,2023/24,12,10.0,92.0,86.79,11.5,Sierra Leone,9.61,180.0,22.0,87.82,34ab1e6e
A Gorawara,2022/23,2,2.0,21.0,116.66,10.5,Hong Kong,10.5,21.0,2.0,116.66,c6b11959
A Gorawara,2023/24,1,1.0,8.0,66.66,8.0,Hong Kong,9.67,29.0,3.0,91.66,c6b11959
A Gorawara,2024,1,1.0,9.0,128.57,9.0,Hong Kong,9.5,38.0,4.0,103.96,c6b11959
A Govorko,2024,4,1.0,1.0,100.0,1.0,Croatia,1.0,1.0,1.0,100.0,a6e4e6f9
A Halbhavi,2021,3,3.0,25.0,75.75,8.33,Luxembourg,8.33,25.0,3.0,75.75,df1b4c8f
A Halbhavi,2022,1,1.0,14.0,82.35,14.0,Luxembourg,9.75,39.0,4.0,79.05,df1b4c8f
A Halbhavi,2023,11,11.0,178.0,118.66,16.18,Luxembourg,14.46,217.0,15.0,92.25,df1b4c8f
A Halbhavi,2023/24,1,1.0,6.0,85.71,6.0,Luxembourg,13.94,223.0,16.0,90.62,df1b4c8f
A Harris,2021/22,1,0.0,0.0,0.0,0.0,Bahamas,0.0,0.0,0.0,0.0,bbafa5d6
A Harris,2022,5,3.0,11.0,78.57,5.5,Bahamas,5.5,11.0,3.0,39.28,bbafa5d6
A Husain,2019/20,5,1.0,2.0,200.0,2.0,Argentina,2.0,2.0,1.0,200.0,034d3c52
A Husain,2021/22,5,1.0,6.0,100.0,6.0,Argentina,4.0,8.0,2.0,150.0,034d3c52
A Husain,2022/23,5,3.0,5.0,71.42,1.67,Argentina,2.6,13.0,5.0,123.81,034d3c52
A Husain,2024/25,1,0.0,0.0,0.0,0.0,Argentina,2.6,13.0,5.0,92.86,034d3c52
A Ilaoa,2022/23,1,1.0,0.0,0.0,0.0,Samoa,0.0,0.0,1.0,0.0,4d733a54
A Ilaoa,2024,6,4.0,15.0,107.14,5.0,Samoa,4.0,15.0,5.0,53.57,4d733a54
A Johnmary,2021,2,2.0,8.0,57.14,4.0,France,4.0,8.0,2.0,57.14,e64c35df
A Johnson,2022/23,7,7.0,402.0,166.8,67.0,Canada,67.0,402.0,7.0,166.8,a28a7fba
A Johnson,2023/24,5,5.0,187.0,185.14,46.75,Canada,58.56,589.0,12.0,175.97,a28a7fba
A Johnson,2024,13,13.0,273.0,120.79,21.0,Canada,39.03,862.0,25.0,157.58,a28a7fba
A Kadowaki Fleming,2024,3,3.0,127.0,160.75,63.5,Japan,63.5,127.0,3.0,160.75,0abf3da7
A Kainessie,2023/24,8,7.0,57.0,69.51,8.14,Sierra Leone,8.14,57.0,7.0,69.51,c7acf05f
A Kalasi,2023,1,1.0,0.0,0.0,0.0,Thailand,0.0,0.0,1.0,0.0,8930a2a6
A Kalasi,2024,5,3.0,13.0,108.33,4.33,Thailand,3.25,13.0,4.0,54.17,8930a2a6
A Kalasi,2024/25,3,1.0,1.0,100.0,1.0,Thailand,2.8,14.0,5.0,69.44,8930a2a6
A Kansonkho,2021/22,6,3.0,22.0,115.78,11.0,Malawi,11.0,22.0,3.0,115.78,5f77f4ec
A Kansonkho,2023,1,0.0,0.0,0.0,0.0,Malawi,11.0,22.0,3.0,57.89,5f77f4ec
A Kapoor,2022/23,2,1.0,9.0,225.0,9.0,Canada,9.0,9.0,1.0,225.0,2835af2a
A Karn,2015,2,1.0,4.0,57.14,4.0,Nepal,4.0,4.0,1.0,57.14,357f5314
A Kaul,2022/23,4,4.0,69.0,81.17,17.25,Singapore,17.25,69.0,4.0,81.17,53d0b0dc
A Kaul,2023/24,3,2.0,28.0,112.0,28.0,Singapore,20.83,97.0,6.0,96.59,53d0b0dc
A Kaul,2024,4,3.0,10.0,83.33,3.33,Singapore,15.0,107.0,9.0,92.17,53d0b0dc
A Khan,2021/22,5,4.0,33.0,86.84,8.25,Denmark,8.25,33.0,4.0,86.84,e27cff77
A Khan,2022,3,2.0,14.0,116.66,7.0,Denmark,7.83,47.0,6.0,101.75,e27cff77
A Khan,2008/09,1,1.0,2.0,50.0,2.0,England,2.0,2.0,1.0,50.0,e27cff77
A Kheterpal,2021,4,4.0,52.0,115.55,17.33,Hungary,17.33,52.0,4.0,115.55,2deb4082
A Kheterpal,2022,9,9.0,143.0,120.16,28.6,Hungary,25.13,195.0,13.0,117.85,2deb4082
A Kheterpal,2023,5,5.0,114.0,121.27,38.0,Hungary,28.71,309.0,18.0,118.99,2deb4082
A Kirschbaum,2021/22,6,6.0,19.0,55.88,3.8,Argentina,3.8,19.0,6.0,55.88,d953bf92
A Kirschbaum,2022/23,6,6.0,57.0,75.0,9.5,Argentina,6.65,76.0,12.0,65.44,d953bf92
A Kirschbaum,2023/24,2,1.0,19.0,118.75,19.0,Argentina,7.6,95.0,13.0,83.21,d953bf92
A Kirschbaum,2024/25,1,1.0,5.0,125.0,5.0,Argentina,7.41,100.0,14.0,93.66,d953bf92
A Krishna,2019,3,2.0,5.0,166.66,5.0,Singapore,5.0,5.0,2.0,166.66,13598ebc
A Krishna,2019/20,4,1.0,0.0,0.0,0.0,Singapore,3.33,5.0,3.0,83.33,13598ebc
A Krishna,2022,5,3.0,24.0,96.0,8.0,Singapore,5.67,29.0,6.0,87.55,13598ebc
A Krishna,2023,4,3.0,3.0,20.0,3.0,Singapore,4.78,32.0,9.0,70.66,13598ebc
A Krishna,2023/24,2,2.0,5.0,125.0,5.0,Singapore,4.82,37.0,11.0,81.53,13598ebc
A Limdawala,2022,3,1.0,0.0,0.0,0.0,Malawi,0.0,0.0,1.0,0.0,2bcbcac3
A Limdawala,2022/23,7,2.0,19.0,65.51,9.5,Malawi,6.33,19.0,3.0,32.76,2bcbcac3
A Limdawala,2023,3,2.0,13.0,48.14,13.0,Malawi,9.0,32.0,5.0,37.88,2bcbcac3
A Limdawala,2023/24,5,4.0,59.0,96.72,19.66,Malawi,13.74,91.0,9.0,52.59,2bcbcac3
