player,country,player_id
Waleed Waqar,Bulgaria,f9d26872
CV Anto,Kuwait,c01ca5af
R Dhiman,Bulgaria,0d4d3cb1
TD Astle,New Zealand,383dd431
S Luus,South Africa,6d76bc23
Mandeep Singh,India,c3a96caf
Yasir Mehmood,Cyprus,af8d9fd9
Muhammad Jabir,Qatar,b67af1c4
TCR Kimber,Guernsey,ad76746f
R Parag,India,04a418e8
T Whiteman,Luxembourg,472455a3
EJG Morgan,England,d2a6c0e6
R Rodrigo,Bahrain,fe676043
TJ Draca,Italy,88fac705
JH Stander,Scotland,4373c57e
Rosine Irera,Rwanda,b84718fd
BMAJ Mendis,Sri Lanka,9868bc75
Ada Bhasin,Singapore,b1c113d7
Zon Lin,Myanmar,3b492b8d
Zulqarnain Haider,Pakistan,ee9bdbc8
RDM Leverock,Bermuda,fbc5c0c6
DE Burgess,Samoa,7bf39e5c
AC Gilchrist,Australia,2b6e6dec
MS Graham,Bahamas,7f2cb055
VF Bomnyuy,Cameroon,3bc18521
VR Vanitha,India,2d963999
C Beckford,United States of America,2cb0acf4
KM Jadhav,India,99d63244
N Chejay,Bhutan,a9e63549
GK Berg,Italy,42151725
R Immadi,Norway,baeae6dd
PBB Rajapaksa,Sri Lanka,6c882e9a
V Vijh,Luxembourg,b857468a
S Badree,West Indies,76388dc8
M Koli,Romania,eb0f2802
GD Elliott,ICC World XI,c03449e0
S Gantulga,Mongolia,8d995b86
SF Jerome,Tanzania,e393c6c1
Abdul-Shakoor Rahimzei,Germany,e45810ed
BA Viraliliu,Vanuatu,7d85b1e9
AAP Atkinson,England,70d57519
M Whelan,Gibraltar,d613f046
Abeera Waris,Bahrain,01396dc6
K Winda Prastini,Indonesia,bd6f7c24
SM Arooja,Malta,59decd79
D Abeyrathna,Norway,ee17d329
Tamoor Sajjad,Qatar,7bb926a7
XM Marshall,United States of America,ffb504b1
Raja Shoaib,South Korea,7b0ea09e
K Suttisan,Thailand,00757ae7
T Yotharat,Thailand,1f74f675
Hiu Ying Cheung,Hong Kong,9efce9fd
MK Tiwary,India,26e5cabf
G Ayan,Turkey,66d258e2
M Dixit,Luxembourg,d85d52c2
RK Raval,Singapore,96611f9f
L Vuadreu,Fiji,6c724896
Manoj Adhikari,Bhutan,26529e00
H Leko,Croatia,02c8fbfc
RB Patel,Uganda,f88dc8de
Ammar Zuhdi Hazalan,Malaysia,46d037eb
Salman Butt,Pakistan,4d6d6280
D Maisuria,Botswana,a96b36af
MR Aguilleira,West Indies,4e7aa570
Amoluk Singh,Ghana,266473e2
Ashwin Vinod,Switzerland,8a99caa9
T Amarmend,Mongolia,e76c8732
B Waluma,Cameroon,fb56dda6
Han Lili,China,cd7134f5
Ahsan Ali,Pakistan,dc2abe5e
AE Smith,South Africa,8caf9750
Saif Ullah Malik,Malaysia,7e6825be
AK Kitchen,New Zealand,63a1874a
CR Seneviratna,United Arab Emirates,bff0535a
Jandu Hamoud,Kuwait,324edd0c
Mohammad Amin,Kuwait,01b45044
SE Rowe,England,711eda94
SC Kumari,Nepal,4169ae00
P Aho,Nigeria,2e392afa
Awais Zia,Pakistan,5c88fab9
R Bakum,Ghana,c74c583b
N Mabila,Eswatini,21ef59e3
DP Michael,Samoa,9815de17
L Chipanga,Mozambique,70722cc7
KV Mehta,Kenya,f7ae66f3
Rashid Khan,Afghanistan,5f547c8b
LB Williams,South Africa,a1d95bd8
AN Lascu,Romania,e2c882d1
KV Sharma,India,119678fd
K Frank,Papua New Guinea,f7e96532
Abdul Rahman,Singapore,12f53be7
GHS Garton,England,be869ccf
Hafiz Qaleem,United Arab Emirates,f566cd7d
GWHM Perera,Sri Lanka,53068b45
J Jagroo,Bahamas,a0a27cd4
A Nehra,India,96fd40ae
NR Kumar,United States of America,b3bad3f2
SN Pradhan,India,cd85eae4
CN Messina,Cameroon,1afd0d5c
Nur Aishah,Malaysia,f7301b56
LS Barkania,Tanzania,073126d6
C Aweko,Uganda,01c1b96c
JE Titmuss,Hong Kong,4a6c0fbb
Abdur Rehman,Pakistan,d094e7d1
Sana Butt,Bahrain,0f49b970
Z Arinaitwe,Uganda,88ee683b
Zohaib Sarwar,Portugal,bd3cecc6
ACF Stokes,Guernsey,7f74b21d
Yogev Nagavkar,Israel,c85bea6b
Pavandeep Singh,Malaysia,78fcc740
RD Atangana,Cameroon,490f475a
Anthony Roe,Chile,0dcd8fbd
Nauman Anwar,Pakistan,d0540390
L Idambo,Kenya,27339093
NP Mayavo,Zimbabwe,28fcb027
BA Stokes,England,e087956b
Sikander Zulfiqar,Netherlands,3b572f28
E Kuchey,Finland,5d6064b0
Marufa Akter,Bangladesh,a50797a4
Azmat Ali,Germany,4121a79a
M Short,Namibia,0e283b75
L Tastuki,Vanuatu,55223171
K Vijayaraghavan,Germany,048da365
GE Mathurin,West Indies,b67bfaae
C Sakariya,India,2cdce1be
MF Maharoof,Sri Lanka,ab89348d
AB Agarkar,India,fa463154
BN Cooper,Netherlands,634a7b21
Khurram Manzoor,Pakistan,82c78845
P Pirabakaran,France,5ab659d9
K Kekez,Croatia,fe11e1a3
S Ravikumar,Sri Lanka,5597338d
A Djorovic,Serbia,677c18f9
Farzan Afzal,Spain,6ebf4d4e
Sandeep Goud,Bahamas,c83ef4d6
M Pugi,Estonia,4641d20b
TS Kamunhukamwe,Zimbabwe,4e1b4323
Z Bimenyimana,Rwanda,ba57fb08
IM Vaghela,United States of America,8d62fc14
DS Wesonga,Kenya,7545a91a
Suabika Manivannan,Malaysia,a044506e
WA Duraisingam,Malaysia,7467fe01
I Katzarski,Bulgaria,514628bd
E Batkhuyag,Mongolia,1c366af1
TN de Grooth,Netherlands,52980a48
J Mbabazi,Uganda,aaa6e84c
V Jesrani,Oman,d1f6a8fa
OC Moiane,Mozambique,b74a1124
RJMGM Rupasinghe,Sri Lanka,4c7c6f58
Irfan Hafejee,Panama,244009ae
S Simic,Serbia,c219a3c4
J Cleetus,United Arab Emirates,ce1e39da
NE Bolton,Australia,dd883071
Asif Iqbal,South Korea,ddcb8503
KE Broadmore,New Zealand,7c0055c1
P Mishra,Bulgaria,3fa5672e
Ainool Hafizs,Malaysia,1bada9da
Rahat Ali,Czech Republic,3cc13c68
CAK Rajitha,Sri Lanka,8012d0b8
TH David,Singapore,f1f99156
LAR Bommareddy,Singapore,3da8cd3a
Anam Amin,Pakistan,06653fcc
M Ratuki,Fiji,ad78df1c
