Player,Mat,Inns,Dis,Ct,St,D/I,Season,Country,Country_right,player_id
R Ravindra,3,3.0,11.0,11.0,0.0,0.5,2024,NZ,New Zealand,ba5e1069
R Rohan,3,3.0,1.0,1.0,0.0,0.3333333333333333,2019,SGP,Singapore,baf0fc26
R Rohan,10,10.0,5.0,5.0,0.0,0.38461538461538464,2019/20,SGP,Singapore,baf0fc26
R Rohan,6,6.0,6.0,6.0,0.0,0.3157894736842105,2022,SGP,Singapore,baf0fc26
R Rohan,4,4.0,7.0,7.0,0.0,0.30434782608695654,2023,SGP,Singapore,baf0fc26
R Rohan,6,6.0,8.0,8.0,0.0,0.27586206896551724,2023/24,SGP,Singapore,baf0fc26
R Sai Kishore,3,3.0,3.0,3.0,0.0,1.0,2023,IND,India,c7a995d3
R Sakurano-Thomas,6,6.0,2.0,2.0,0.0,0.3333333333333333,2022/23,JPN,Japan,dd14abf5
R Sakurano-Thomas,8,8.0,3.0,3.0,0.0,0.21428571428571427,2023,JPN,Japan,dd14abf5
R Sakurano-Thomas,9,9.0,7.0,7.0,0.0,0.30434782608695654,2023/24,JPN,Japan,dd14abf5
R Sakurano-Thomas,12,12.0,8.0,8.0,0.0,0.22857142857142856,2024,JPN,Japan,dd14abf5
R Sandaruwan,4,4.0,1.0,1.0,0.0,0.25,2018/19,KUW,Kuwait,cf6acc0d
R Sandaruwan,6,6.0,1.0,1.0,0.0,0.1,2019,KUW,Kuwait,cf6acc0d
R Sandaruwan,5,5.0,2.0,2.0,0.0,0.13333333333333333,2019/20,KUW,Kuwait,cf6acc0d
R Sandaruwan,4,4.0,4.0,4.0,0.0,0.21052631578947367,2021/22,KUW,Kuwait,cf6acc0d
R Sandaruwan,8,8.0,4.0,4.0,0.0,0.14814814814814814,2022,KUW,Kuwait,cf6acc0d
R Sandaruwan,4,4.0,8.0,8.0,0.0,0.25806451612903225,2022/23,KUW,Kuwait,cf6acc0d
R Sandaruwan,5,5.0,9.0,9.0,0.0,0.25,2023,KUW,Kuwait,cf6acc0d
R Sandaruwan,14,14.0,10.0,10.0,0.0,0.2,2023/24,KUW,Kuwait,cf6acc0d
R Sandaruwan,15,15.0,14.0,14.0,0.0,0.2153846153846154,2024,KUW,Kuwait,cf6acc0d
R Satheesan,4,4.0,0.0,0.0,0.0,0.0,2019,ROM,Romania,1125ebe4
R Satheesan,4,4.0,4.0,4.0,0.0,0.5,2020/21,ROM,Romania,1125ebe4
R Satheesan,9,9.0,8.0,8.0,0.0,0.47058823529411764,2021,ROM,Romania,1125ebe4
R Satheesan,11,11.0,11.0,11.0,0.0,0.39285714285714285,2022,ROM,Romania,1125ebe4
R Satheesan,10,10.0,15.0,15.0,0.0,0.39473684210526316,2023,ROM,Romania,1125ebe4
R Sekaran,4,4.0,4.0,4.0,0.0,1.0,2024,EST,Estonia,5da43a10
R Sharma,4,4.0,3.0,3.0,0.0,0.75,2023,SGP,Singapore,2278c4ca
R Sharma,4,4.0,3.0,3.0,0.0,0.75,2023,SGP,India,5d9a1a73
R Sharma,4,4.0,6.0,6.0,0.0,0.75,2023/24,SGP,Singapore,2278c4ca
R Sharma,4,4.0,6.0,6.0,0.0,0.75,2023/24,SGP,India,5d9a1a73
R Sharma,3,3.0,10.0,10.0,0.0,0.9090909090909091,2024,SGP,Singapore,2278c4ca
R Sharma,3,3.0,10.0,10.0,0.0,0.9090909090909091,2024,SGP,India,5d9a1a73
R Shepherd,2,2.0,1.0,1.0,0.0,0.5,2019/20,WI,West Indies,c5aef772
R Shepherd,1,0.0,1.0,1.0,0.0,0.5,2020/21,WI,West Indies,c5aef772
R Shepherd,3,1.0,2.0,2.0,0.0,0.6666666666666666,2021,WI,West Indies,c5aef772
