player_id,Player,Mat,SR,Overs,Wkts,Econ,D/I
7923a51d,Mohammad Naim,35,103.42,0.0,0.0,0.0,0.514
b3e9555a,Aziz Mohammad,19,140.68,48.5,10.0,7.67,0.263
8a5a8cf0,SM Warnakulasuriya,8,96.0,22.0,10.0,8.04,0.5
d6dcb0c9,Mohammad Shahzad,73,132.12,0.0,0.0,0.0,0.847
0a8fce53,Mustafizur Rahman,106,74.35,379.4,132.0,7.51,0.219
a830c083,ND McKenzie,2,87.5,0.0,0.0,0.0,0.0
5902f2eb,Saud Munir,13,50.0,45.4,20.0,6.28,0.307
b1b99a1a,Sajid Liaqat,9,108.69,31.4,12.0,9.56,0.0
31803fac,Abu Hider,13,134.88,36.0,6.0,9.16,0.166
39e6bad7,Saqib Naveed,4,33.33,9.0,1.0,13.88,0.0
fce581b5,Khushdil Shah,27,109.2,8.0,3.0,4.87,0.185
6829b373,Zeshan Arif,8,119.04,9.5,6.0,6.71,0.5
336a85f6,Abdullah Sheikh,5,64.0,12.0,2.0,6.58,0.2
492c17f0,JWN Moses,7,90.0,8.0,0.0,5.75,0.285
c5aef772,R Shepherd,46,143.63,137.4,50.0,9.77,0.162
acb6ee37,RR Saun,3,60.0,0.0,0.0,0.0,0.0
321fcf79,S Singh,42,107.28,0.0,0.0,0.0,0.0
14e1fdab,Amar Sharma,36,91.56,120.3,27.0,7.9,0.25
d4eef961,M de Lange,6,0.0,23.2,7.0,9.77,0.166
d5e5f96b,D Sheeli,7,106.66,0.0,0.0,0.0,0.571
86f84b37,AM Tribe,25,125.0,5.0,0.0,4.6,0.44
e0557f7f,DE Bernard,1,100.0,4.0,0.0,4.25,0.0
ee1b6c27,N Thushara,13,57.14,37.5,20.0,8.27,0.0
8e38d470,Robert Raina,15,94.82,24.0,16.0,6.04,0.4
20e3030d,P Ayoleyine,6,0.0,0.0,0.0,0.0,0.166
c8ea9add,S Simpson,2,88.88,8.0,6.0,5.87,0.0
7c885103,Ahmed Hassan,11,139.01,20.3,6.0,7.36,0.19
65b6943c,L Wood,5,75.0,18.0,8.0,9.66,0.2
