team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
South Africa,England,female,2022/23,2023/02/24,"Newlands, Cape Town",Cape Town,South Africa,bat,South Africa,1338061
Australia,South Africa,female,2022/23,2023/02/26,"Newlands, Cape Town",Cape Town,Australia,bat,Australia,1338062
Italy,Germany,male,2022/23,2022/11/04,"Desert Springs Cricket Ground, Almeria",Almeria,Italy,bat,Germany,1339205
Italy,Germany,male,2022/23,2022/11/04,"Desert Springs Cricket Ground, Almeria",Almeria,Italy,bat,Germany,1339206
Italy,Spain,male,2022/23,2022/11/05,"Desert Springs Cricket Ground, Almeria",Almeria,Italy,bat,Spain,1339207
Germany,Spain,male,2022/23,2022/11/05,"Desert Springs Cricket Ground, Almeria",Almeria,Spain,field,Germany,1339208
Spain,Germany,male,2022/23,2022/11/06,"Desert Springs Cricket Ground, Almeria",Almeria,Germany,field,Spain,1339209
Italy,Spain,male,2022/23,2022/11/06,"Desert Springs Cricket Ground, Almeria",Almeria,Italy,bat,Italy,1339210
Spain,Norway,female,2022/23,2022/11/13,"Desert Springs Cricket Ground, Almeria",Almeria,Norway,field,Spain,1339555
Spain,Sweden,female,2022/23,2022/11/14,"Desert Springs Cricket Ground, Almeria",Almeria,Sweden,field,Spain,1339558
South Africa,West Indies,male,2022/23,2023/03/25,"SuperSport Park, Centurion",Centurion,West Indies,field,West Indies,1339604
West Indies,South Africa,male,2022/23,2023/03/26,"SuperSport Park, Centurion",Centurion,South Africa,field,South Africa,1339605
West Indies,South Africa,male,2022/23,2023/03/28,"The Wanderers Stadium, Johannesburg",Johannesburg,South Africa,field,West Indies,1339606
Pakistan,New Zealand,male,2023,2023/04/14,"Gaddafi Stadium, Lahore",Lahore,Pakistan,bat,Pakistan,1339614
Pakistan,New Zealand,male,2023,2023/04/15,"Gaddafi Stadium, Lahore",Lahore,Pakistan,bat,Pakistan,1339615
New Zealand,Pakistan,male,2023,2023/04/17,"Gaddafi Stadium, Lahore",Lahore,New Zealand,bat,New Zealand,1339616
Pakistan,New Zealand,male,2023,2023/04/24,Rawalpindi Cricket Stadium,Rawalpindi,New Zealand,field,New Zealand,1339618
Botswana,Rwanda,male,2022/23,2022/11/17,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda,field,Rwanda,1343740
Lesotho,Mali,male,2022/23,2022/11/17,Integrated Polytechnic Regional Centre,Kigali City,Mali,field,Lesotho,1343741
Rwanda,St Helena,male,2022/23,2022/11/18,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda,bat,Rwanda,1343744
Lesotho,Botswana,male,2022/23,2022/11/18,Integrated Polytechnic Regional Centre,Kigali City,Botswana,field,Botswana,1343745
Mali,Kenya,male,2022/23,2022/11/20,Integrated Polytechnic Regional Centre,Kigali City,Mali,bat,Kenya,1343749
Rwanda,Kenya,male,2022/23,2022/11/20,Gahanga International Cricket Stadium. Rwanda,Kigali City,Kenya,field,Kenya,1343750
Kenya,Lesotho,male,2022/23,2022/11/21,Integrated Polytechnic Regional Centre,Kigali City,Kenya,bat,Kenya,1343753
Mali,Botswana,male,2022/23,2022/11/22,Gahanga International Cricket Stadium. Rwanda,Kigali City,Botswana,field,Botswana,1343756
St Helena,Lesotho,male,2022/23,2022/11/22,Integrated Polytechnic Regional Centre,Kigali City,Lesotho,field,St Helena,1343757
St Helena,Malawi,male,2022/23,2022/11/24,Gahanga International Cricket Stadium. Rwanda,Kigali City,Malawi,field,Malawi,1343760
Rwanda,Seychelles,male,2022/23,2022/11/24,Integrated Polytechnic Regional Centre,Kigali City,Rwanda,bat,Rwanda,1343761
Botswana,Kenya,male,2022/23,2022/11/24,Gahanga International Cricket Stadium. Rwanda,Kigali City,Botswana,bat,Kenya,1343762
Mali,Rwanda,male,2022/23,2022/11/24,Integrated Polytechnic Regional Centre,Kigali City,Rwanda,field,Rwanda,1343763
Seychelles,Kenya,male,2022/23,2022/11/25,Gahanga International Cricket Stadium. Rwanda,Kigali City,Seychelles,bat,Kenya,1343764
Sierra Leone,Tanzania,male,2022/23,2022/12/01,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,field,Tanzania,1343768
Mozambique,Nigeria,male,2022/23,2022/12/01,Gahanga International Cricket Stadium. Rwanda,Kigali City,Nigeria,field,Nigeria,1343770
Gambia,Eswatini,male,2022/23,2022/12/01,Integrated Polytechnic Regional Centre,Kigali City,Eswatini,field,Eswatini,1343771
Sierra Leone,Nigeria,male,2022/23,2022/12/02,Gahanga International Cricket Stadium. Rwanda,Kigali City,Nigeria,field,Nigeria,1343772
Ghana,Mozambique,male,2022/23,2022/12/02,Integrated Polytechnic Regional Centre,Kigali City,Mozambique,field,Mozambique,1343773
Cameroon,Sierra Leone,male,2022/23,2022/12/02,Gahanga International Cricket Stadium. Rwanda,Kigali City,Sierra Leone,field,Sierra Leone,1343774
Eswatini,Mozambique,male,2022/23,2022/12/02,Integrated Polytechnic Regional Centre,Kigali City,Mozambique,field,Mozambique,1343775
Cameroon,Mozambique,male,2022/23,2022/12/04,Gahanga International Cricket Stadium. Rwanda,Kigali City,Mozambique,field,Mozambique,1343776
Nigeria,Eswatini,male,2022/23,2022/12/04,Integrated Polytechnic Regional Centre,Kigali City,Eswatini,field,Nigeria,1343777
Ghana,Tanzania,male,2022/23,2022/12/04,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,field,Tanzania,1343778
Mozambique,Tanzania,male,2022/23,2022/12/05,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,field,Tanzania,1343780
Sierra Leone,Eswatini,male,2022/23,2022/12/05,Integrated Polytechnic Regional Centre,Kigali City,Eswatini,field,Sierra Leone,1343781
Cameroon,Nigeria,male,2022/23,2022/12/05,Gahanga International Cricket Stadium. Rwanda,Kigali City,Nigeria,field,Nigeria,1343782
Ghana,Sierra Leone,male,2022/23,2022/12/05,Integrated Polytechnic Regional Centre,Kigali City,Sierra Leone,field,Sierra Leone,1343783
Tanzania,Eswatini,male,2022/23,2022/12/06,Gahanga International Cricket Stadium. Rwanda,Kigali City,Eswatini,field,Tanzania,1343784
Gambia,Sierra Leone,male,2022/23,2022/12/06,Integrated Polytechnic Regional Centre,Kigali City,Sierra Leone,field,Sierra Leone,1343785
Gambia,Tanzania,male,2022/23,2022/12/06,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,field,Tanzania,1343786
Ghana,Gambia,male,2022/23,2022/12/08,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,bat,Ghana,1343788
Mozambique,Gambia,male,2022/23,2022/12/08,Integrated Polytechnic Regional Centre,Kigali City,Mozambique,bat,Mozambique,1343791
Gambia,Cameroon,male,2022/23,2022/12/09,Integrated Polytechnic Regional Centre,Kigali City,Gambia,bat,Gambia,1343793
Ghana,Nigeria,male,2022/23,2022/12/09,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,bat,Nigeria,1343794
Tanzania,Cameroon,male,2022/23,2022/12/09,Integrated Polytechnic Regional Centre,Kigali City,Tanzania,bat,Tanzania,1343795
West Indies,England,female,2022/23,2022/12/11,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,England,field,England,1343934
England,West Indies,female,2022/23,2022/12/14,"Kensington Oval, Bridgetown, Barbados",Bridgetown,England,bat,England,1343935
England,West Indies,female,2022/23,2022/12/17,"Kensington Oval, Bridgetown, Barbados",Bridgetown,England,bat,England,1343936
England,West Indies,female,2022/23,2022/12/18,"Kensington Oval, Bridgetown, Barbados",Bridgetown,England,bat,England,1343937
West Indies,England,female,2022/23,2022/12/22,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,bat,England,1343938
Netherlands,Thailand,female,2022/23,2022/11/29,Royal Chiangmai Golf Club,Chiang Mai,Netherlands,bat,Thailand,1344507
Thailand,Netherlands,female,2022/23,2022/11/30,Royal Chiangmai Golf Club,Chiang Mai,Thailand,bat,Netherlands,1344508
Netherlands,Thailand,female,2022/23,2022/12/02,Royal Chiangmai Golf Club,Chiang Mai,Thailand,field,Thailand,1344509
Thailand,Netherlands,female,2022/23,2022/12/03,Royal Chiangmai Golf Club,Chiang Mai,Netherlands,field,Thailand,1344510
India,South Africa,female,2022/23,2023/01/19,"Buffalo Park, East London",East London,South Africa,field,India,1344511
South Africa,West Indies,female,2022/23,2023/01/21,"Buffalo Park, East London",East London,South Africa,bat,South Africa,1344512
India,West Indies,female,2022/23,2023/01/23,"Buffalo Park, East London",East London,India,bat,India,1344513
West Indies,South Africa,female,2022/23,2023/01/25,"Buffalo Park, East London",East London,West Indies,bat,South Africa,1344514
West Indies,India,female,2022/23,2023/01/30,"Buffalo Park, East London",East London,India,field,India,1344516
India,South Africa,female,2022/23,2023/02/02,"Buffalo Park, East London",East London,India,bat,South Africa,1344517
New Zealand,Bangladesh,female,2022/23,2022/12/02,"Hagley Oval, Christchurch",Christchurch,New Zealand,bat,New Zealand,1344619
New Zealand,Bangladesh,female,2022/23,2022/12/04,"University Oval, Dunedin",Dunedin,New Zealand,bat,New Zealand,1344620
New Zealand,Bangladesh,female,2022/23,2022/12/07,"John Davies Oval, Queenstown",Queenstown,New Zealand,bat,New Zealand,1344621
Saudi Arabia,Oman,male,2022/23,2022/11/14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Saudi Arabia,bat,Oman,1344782
Bahrain,Canada,male,2022/23,2022/11/14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Canada,field,Canada,1344783
Canada,Saudi Arabia,male,2022/23,2022/11/15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Saudi Arabia,field,Canada,1344784
Oman,Bahrain,male,2022/23,2022/11/15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,field,Bahrain,1344785
Bahrain,Saudi Arabia,male,2022/23,2022/11/16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Saudi Arabia,field,Bahrain,1344786
Canada,Oman,male,2022/23,2022/11/16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Canada,1344787
Saudi Arabia,Oman,male,2022/23,2022/11/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Oman,1344788
Canada,Bahrain,male,2022/23,2022/11/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,field,Bahrain,1344789
Canada,Saudi Arabia,male,2022/23,2022/11/19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Saudi Arabia,field,Canada,1344790
Oman,Bahrain,male,2022/23,2022/11/19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,field,Oman,1344791
Oman,Canada,male,2022/23,2022/11/20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Canada,field,Canada,1344792
Bahrain,Saudi Arabia,male,2022/23,2022/11/20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,bat,Saudi Arabia,1344793
Saudi Arabia,Bahrain,male,2022/23,2022/11/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,field,Saudi Arabia,1344794
Oman,Canada,male,2022/23,2022/11/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Canada,field,Canada,1344795
Pakistan,Australia,female,2022/23,2023/01/24,"North Sydney Oval, Sydney",Sydney,Pakistan,bat,Australia,1345095
Pakistan,Australia,female,2022/23,2023/01/26,"Bellerive Oval, Hobart",Hobart,Pakistan,bat,Australia,1345096
India,Australia,female,2022/23,2022/12/09,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Australia,field,Australia,1345424
Australia,India,female,2022/23,2022/12/14,"Brabourne Stadium, Mumbai",Mumbai,India,field,Australia,1345426
Australia,India,female,2022/23,2022/12/17,"Brabourne Stadium, Mumbai",Mumbai,India,field,Australia,1345427
Australia,India,female,2022/23,2022/12/20,"Brabourne Stadium, Mumbai",Mumbai,India,field,Australia,1345428
Qatar,Kenya,female,2022/23,2022/12/15,"Gymkhana Club Ground, Nairobi",Nairobi,Qatar,bat,Kenya,1346539
Kenya,Uganda,female,2022/23,2022/12/18,"Gymkhana Club Ground, Nairobi",Nairobi,Uganda,field,Uganda,1346543
Tanzania,Kenya,female,2022/23,2022/12/19,"Gymkhana Club Ground, Nairobi",Nairobi,Tanzania,bat,Kenya,1346545
Ireland,Zimbabwe,male,2022/23,2023/01/12,Harare Sports Club,Harare,Zimbabwe,field,Zimbabwe,1348323
Zimbabwe,Ireland,male,2022/23,2023/01/14,Harare Sports Club,Harare,Ireland,field,Ireland,1348324
Ireland,Zimbabwe,male,2022/23,2023/01/15,Harare Sports Club,Harare,Zimbabwe,field,Zimbabwe,1348325
India,Sri Lanka,male,2022/23,2023/01/03,"Wankhede Stadium, Mumbai",Mumbai,Sri Lanka,field,India,1348640
Sri Lanka,India,male,2022/23,2023/01/05,"Maharashtra Cricket Association Stadium, Pune",Pune,India,field,Sri Lanka,1348641
India,Sri Lanka,male,2022/23,2023/01/07,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,India,bat,India,1348642
New Zealand,India,male,2022/23,2023/01/27,"JSCA International Stadium Complex, Ranchi",Ranchi,India,field,New Zealand,1348649
New Zealand,India,male,2022/23,2023/01/29,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,New Zealand,bat,India,1348650
India,New Zealand,male,2022/23,2023/02/01,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,bat,India,1348651
Tanzania,Rwanda,male,2022/23,2022/12/13,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,Tanzania,1349124
Uganda,Rwanda,male,2022/23,2022/12/14,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,Uganda,1349126
Uganda,Rwanda,male,2022/23,2022/12/15,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,Uganda,1349128
Uganda,Tanzania,male,2022/23,2022/12/15,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,field,Uganda,1349129
Rwanda,Tanzania,male,2022/23,2022/12/16,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,field,Rwanda,1349131
Uganda,Tanzania,male,2022/23,2022/12/18,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,Uganda,1349132
Rwanda,Tanzania,male,2022/23,2022/12/18,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,bat,Tanzania,1349133
Uganda,Tanzania,male,2022/23,2022/12/19,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,Tanzania,1349134
Tanzania,Rwanda,male,2022/23,2022/12/20,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,bat,Tanzania,1349136
Rwanda,Uganda,male,2022/23,2022/12/20,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,field,Uganda,1349137
Tanzania,Rwanda,male,2022/23,2022/12/22,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,Tanzania,1349138
Uganda,Tanzania,male,2022/23,2022/12/22,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,Uganda,1349139
Uganda,Rwanda,male,2022/23,2022/12/23,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,field,Uganda,1349140
Tanzania,Qatar,female,2022/23,2022/12/18,"Gymkhana Club Ground, Nairobi",Nairobi,Tanzania,bat,Tanzania,1349150
Tanzania,Qatar,female,2022/23,2022/12/21,"Gymkhana Club Ground, Nairobi",Nairobi,Tanzania,bat,Tanzania,1349151
Kenya,Uganda,female,2022/23,2022/12/21,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,bat,Uganda,1349152
Singapore,Qatar,male,2022/23,2022/12/15,"UKM-YSD Cricket Oval, Bangi",Bangi,Singapore,bat,Qatar,1349379
Qatar,Malaysia,male,2022/23,2022/12/16,"UKM-YSD Cricket Oval, Bangi",Bangi,Qatar,bat,Malaysia,1349380
Bahrain,Qatar,male,2022/23,2022/12/18,"UKM-YSD Cricket Oval, Bangi",Bangi,Qatar,field,Bahrain,1349382
Malaysia,Singapore,male,2022/23,2022/12/18,"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,bat,Malaysia,1349383
Singapore,Qatar,male,2022/23,2022/12/19,"UKM-YSD Cricket Oval, Bangi",Bangi,Qatar,field,Qatar,1349384
Bahrain,Malaysia,male,2022/23,2022/12/19,"UKM-YSD Cricket Oval, Bangi",Bangi,Bahrain,bat,Malaysia,1349385
Singapore,Bahrain,male,2022/23,2022/12/21,"UKM-YSD Cricket Oval, Bangi",Bangi,Bahrain,field,Bahrain,1349386
Malaysia,Singapore,male,2022/23,2022/12/22,"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,bat,Malaysia,1349388
Singapore,Qatar,male,2022/23,2022/12/23,"UKM-YSD Cricket Oval, Bangi",Bangi,Qatar,field,Qatar,1349390
Malaysia,Bahrain,male,2022/23,2022/12/23,"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,bat,Bahrain,1349391
England,Bangladesh,male,2022/23,2023/03/09,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,field,Bangladesh,1351400
England,Bangladesh,male,2022/23,2023/03/12,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,field,Bangladesh,1351401
Bangladesh,England,male,2022/23,2023/03/14,"Shere Bangla National Stadium, Mirpur",Dhaka,England,field,Bangladesh,1351402
Isle of Man,Spain,male,2022/23,2023/02/25,La Manga Club Bottom Ground,Murcia,Isle of Man,bat,Spain,1354800
Isle of Man,Spain,male,2022/23,2023/02/25,La Manga Club Bottom Ground,Murcia,Isle of Man,bat,Spain,1354801
Isle of Man,Spain,male,2022/23,2023/02/26,La Manga Club Bottom Ground,Murcia,Spain,field,Spain,1354802
Isle of Man,Spain,male,2022/23,2023/02/26,La Manga Club Bottom Ground,Murcia,Spain,field,Spain,1354803
Bangladesh,Ireland,male,2022/23,2023/03/27,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Ireland,field,Bangladesh,1355720
Bangladesh,Ireland,male,2022/23,2023/03/29,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Ireland,field,Bangladesh,1355721
Bangladesh,Ireland,male,2022/23,2023/03/31,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,bat,Ireland,1355722
Singapore,Cambodia,female,2022/23,2023/02/09,Morodok Techo National Stadium,Phnom Penh,Cambodia,field,Singapore,1355838
Cambodia,Singapore,female,2022/23,2023/02/10,Morodok Techo National Stadium,Phnom Penh,Singapore,field,Singapore,1355839
Cambodia,Singapore,female,2022/23,2023/02/11,Morodok Techo National Stadium,Phnom Penh,Singapore,field,Singapore,1355840
Cambodia,Singapore,female,2022/23,2023/02/12,Morodok Techo National Stadium,Phnom Penh,Singapore,field,Singapore,1355841
United Arab Emirates,Afghanistan,male,2022/23,2023/02/16,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Afghanistan,field,Afghanistan,1357694
Afghanistan,United Arab Emirates,male,2022/23,2023/02/18,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Afghanistan,bat,United Arab Emirates,1357695
United Arab Emirates,Afghanistan,male,2022/23,2023/02/19,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Afghanistan,field,Afghanistan,1357696
Argentina,Bermuda,male,2022/23,2023/02/21,"St Albans Club, Buenos Aires",Buenos Aires,Argentina,bat,Bermuda,1359786
Bermuda,Argentina,male,2022/23,2023/02/22,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Argentina,field,Bermuda,1359787
Cayman Islands,Bahamas,male,2022/23,2023/02/28,"St Albans Club, Buenos Aires",Buenos Aires,Cayman Islands,bat,Cayman Islands,1359788
Bermuda,Panama,male,2022/23,2023/02/28,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Bermuda,bat,Bermuda,1359789
Panama,Bahamas,male,2022/23,2023/02/26,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Panama,bat,Bahamas,1359792
Bermuda,Argentina,male,2022/23,2023/02/26,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Bermuda,bat,Bermuda,1359793
Panama,Argentina,male,2022/23,2023/02/25,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Argentina,field,Panama,1359794
Bermuda,Cayman Islands,male,2022/23,2023/02/25,"St Albans Club, Buenos Aires",Buenos Aires,Bermuda,bat,Bermuda,1359795
Argentina,Bahamas,male,2022/23,2023/03/02,"St Albans Club, Buenos Aires",Buenos Aires,Argentina,bat,Argentina,1359798
Cayman Islands,Panama,male,2022/23,2023/03/02,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Cayman Islands,bat,Cayman Islands,1359799
Bahamas,Bermuda,male,2022/23,2023/03/04,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Bermuda,field,Bermuda,1359800
Argentina,Cayman Islands,male,2022/23,2023/03/04,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Argentina,bat,Cayman Islands,1359802
Kuwait,Malaysia,male,2022/23,2023/03/08,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Malaysia,field,Malaysia,1361770
Hong Kong,Bahrain,male,2022/23,2023/03/08,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Bahrain,field,Hong Kong,1361771
Malaysia,Bahrain,male,2022/23,2023/03/09,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Bahrain,field,Malaysia,1361772
Hong Kong,Kuwait,male,2022/23,2023/03/09,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Kuwait,field,Hong Kong,1361773
Kuwait,Bahrain,male,2022/23,2023/03/11,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Bahrain,field,Bahrain,1361774
Malaysia,Hong Kong,male,2022/23,2023/03/11,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Hong Kong,field,Hong Kong,1361775
Bahrain,Kuwait,male,2022/23,2023/03/12,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Kuwait,field,Kuwait,1361776
Hong Kong,Malaysia,male,2022/23,2023/03/12,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Malaysia,field,Hong Kong,1362242
Pakistan,Afghanistan,male,2022/23,2023/03/24,Sharjah Cricket Stadium,Sharjah,Pakistan,bat,Afghanistan,1362815
Pakistan,Afghanistan,male,2022/23,2023/03/26,Sharjah Cricket Stadium,Sharjah,Pakistan,bat,Afghanistan,1362816
Pakistan,Afghanistan,male,2022/23,2023/03/27,Sharjah Cricket Stadium,Sharjah,Afghanistan,field,Pakistan,1362817
Rwanda,Ghana,female,2022/23,2023/03/27,Tafawa Balewa Square (TBS) Cricket Oval,,Ghana,field,Rwanda,1365310
Zimbabwe,Thailand,female,2023,2023/04/25,"Terdthai Cricket Ground, Bangkok",Bangkok,Zimbabwe,bat,Zimbabwe,1365321
Zimbabwe,Thailand,female,2023,2023/04/27,"Terdthai Cricket Ground, Bangkok",Bangkok,Zimbabwe,bat,Thailand,1365322
Zimbabwe,Thailand,female,2023,2023/04/28,"Terdthai Cricket Ground, Bangkok",Bangkok,Zimbabwe,bat,Thailand,1365323
Portugal,Gibraltar,male,2023,2023/04/10,Santarem Cricket Ground,Albergaria,Portugal,bat,Portugal,1367722
Gibraltar,Portugal,male,2023,2023/04/11,Santarem Cricket Ground,Albergaria,Gibraltar,bat,Portugal,1367723
Gibraltar,Portugal,male,2023,2023/04/11,Santarem Cricket Ground,Albergaria,Gibraltar,bat,Portugal,1367724
Gibraltar,Portugal,male,2023,2023/05/04,Europa Sports Complex,Gibraltar,Gibraltar,bat,Portugal,1367725
Portugal,Malta,male,2023,2023/05/04,Europa Sports Complex,Gibraltar,Malta,field,Portugal,1367726
Gibraltar,Malta,male,2023,2023/05/05,Europa Sports Complex,Gibraltar,Gibraltar,bat,Gibraltar,1367727
Gibraltar,Portugal,male,2023,2023/05/06,Europa Sports Complex,Gibraltar,Gibraltar,bat,Portugal,1367728
Portugal,Malta,male,2023,2023/05/05,Europa Sports Complex,Gibraltar,Portugal,bat,Portugal,1367729
Gibraltar,Malta,male,2023,2023/05/06,Europa Sports Complex,Gibraltar,Gibraltar,bat,Gibraltar,1367730
Malta,Gibraltar,male,2023,2023/05/07,Europa Sports Complex,Gibraltar,Malta,bat,Malta,1367731
Gibraltar,Portugal,male,2023,2023/05/07,Europa Sports Complex,Gibraltar,Gibraltar,bat,Portugal,1367732
Malta,Portugal,male,2023,2023/05/06,Europa Sports Complex,Gibraltar,Malta,bat,Portugal,1367733
Norway,Denmark,male,2023,2023/05/18,"Svanholm Park, Brondby",Brondby,Norway,bat,Denmark,1370782
Denmark,Finland,male,2023,2023/05/18,"Svanholm Park, Brondby",Brondby,Denmark,bat,Denmark,1370783
Denmark,Sweden,male,2023,2023/05/19,"Svanholm Park, Brondby",Brondby,Sweden,field,Sweden,1370785
Finland,Denmark,male,2023,2023/05/19,"Svanholm Park, Brondby",Brondby,Finland,bat,Denmark,1370787
Finland,Norway,male,2023,2023/05/20,"Solvangs Park, Glostrup",Copenhagen,Finland,bat,Norway,1370790
United Arab Emirates,Uganda,female,2023,2023/04/25,"United Cricket Club Ground, Windhoek",Windhoek,Uganda,field,United Arab Emirates,1370902
Namibia,Hong Kong,female,2023,2023/04/25,"United Cricket Club Ground, Windhoek",Windhoek,Hong Kong,field,Namibia,1370903
United Arab Emirates,Hong Kong,female,2023,2023/04/26,"United Cricket Club Ground, Windhoek",Windhoek,Hong Kong,field,Hong Kong,1370904
Hong Kong,Uganda,female,2023,2023/04/27,"United Cricket Club Ground, Windhoek",Windhoek,Hong Kong,bat,Uganda,1370905
United Arab Emirates,Namibia,female,2023,2023/04/27,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,field,Namibia,1370906
Namibia,Uganda,female,2023,2023/04/29,"United Cricket Club Ground, Windhoek",Windhoek,Uganda,field,Namibia,1370908
Namibia,United Arab Emirates,female,2023,2023/04/30,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,bat,Namibia,1370910
United Arab Emirates,Hong Kong,female,2023,2023/05/01,"United Cricket Club Ground, Windhoek",Windhoek,Hong Kong,field,United Arab Emirates,1370911
Namibia,Uganda,female,2023,2023/05/01,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,bat,Uganda,1370912
Uganda,Namibia,female,2023,2023/05/02,"United Cricket Club Ground, Windhoek",Windhoek,Uganda,bat,Uganda,1370914
Sri Lanka,Bangladesh,female,2023,2023/05/09,"Sinhalese Sports Club Ground, Colombo",Colombo,Sri Lanka,bat,Bangladesh,1371604
Bangladesh,Sri Lanka,female,2023,2023/05/11,"Sinhalese Sports Club Ground, Colombo",Colombo,Sri Lanka,field,Sri Lanka,1371605
Sri Lanka,Bangladesh,female,2023,2023/05/12,"Sinhalese Sports Club Ground, Colombo",Colombo,Sri Lanka,bat,Sri Lanka,1371606
Australia,South Africa,male,2023/24,2023/08/30,"Kingsmead, Durban",Durban,South Africa,field,Australia,1373568
South Africa,Australia,male,2023/24,2023/09/01,"Kingsmead, Durban",Durban,Australia,field,Australia,1373569
South Africa,Australia,male,2023/24,2023/09/03,"Kingsmead, Durban",Durban,South Africa,bat,Australia,1373570
England,West Indies,male,2023/24,2023/12/12,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,field,West Indies,1373579
