team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
Australia,India,female,2017/18,2018/03/26,Brabourne Stadium,Mumbai,India,field,Australia,1131238
England,Australia,female,2017/18,2018/03/28,Brabourne Stadium,Mumbai,Australia,field,Australia,1131239
England,India,female,2017/18,2018/03/29,Brabourne Stadium,Mumbai,England,bat,India,1131240
Australia,England,female,2017/18,2018/03/31,Brabourne Stadium,Mumbai,England,field,Australia,1131241
India,Sri Lanka,male,2017/18,2018/03/06,"R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka,field,Sri Lanka,1133817
Bangladesh,India,male,2017/18,2018/03/08,"R.Premadasa Stadium, Khettarama",Colombo,India,field,India,1133818
Sri Lanka,Bangladesh,male,2017/18,2018/03/10,"R.Premadasa Stadium, Khettarama",Colombo,Bangladesh,field,Bangladesh,1133819
Sri Lanka,India,male,2017/18,2018/03/12,"R.Premadasa Stadium, Khettarama",Colombo,India,field,India,1133820
India,Bangladesh,male,2017/18,2018/03/14,"R.Premadasa Stadium, Khettarama",Colombo,Bangladesh,field,India,1133821
Sri Lanka,Bangladesh,male,2017/18,2018/03/16,"R.Premadasa Stadium, Khettarama",Colombo,Bangladesh,field,Bangladesh,1133822
Bangladesh,India,male,2017/18,2018/03/18,"R.Premadasa Stadium, Khettarama",Colombo,India,field,India,1133823
Zimbabwe,Afghanistan,male,2017/18,2018/02/05,Sharjah Cricket Stadium,,Afghanistan,field,Afghanistan,1134031
Afghanistan,Zimbabwe,male,2017/18,2018/02/06,Sharjah Cricket Stadium,,Zimbabwe,field,Afghanistan,1134032
New Zealand,West Indies,female,2017/18,2018/03/14,Bay Oval,Mount Maunganui,West Indies,field,New Zealand,1138194
New Zealand,West Indies,female,2017/18,2018/03/16,Bay Oval,Mount Maunganui,West Indies,field,New Zealand,1138195
New Zealand,West Indies,female,2017/18,2018/03/20,Pukekura Park,New Plymouth,West Indies,field,New Zealand,1138196
West Indies,New Zealand,female,2017/18,2018/03/25,Seddon Park,Hamilton,New Zealand,field,New Zealand,1138198
